H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1186.0,1800.0,1800.0,526.0,1800.0,564.0,234.0,100.0
1045.0,1584.0,1800.0,782.0,1800.0,100.0,1800.0,100.0
1064.0,692.0,1800.0,1800.0,1360.0,100.0,100.0,100.0
1249.0,1800.0,1800.0,1800.0,1800.0,100.0,1775.0,100.0
100.0,1088.0,1800.0,1800.0,100.0,100.0,1800.0,469.0
559.0,1800.0,1800.0,1800.0,100.0,100.0,100.0,100.0
599.0,1800.0,1800.0,1800.0,297.0,464.0,1800.0,100.0
756.0,1800.0,1800.0,1800.0,1251.0,100.0,1800.0,100.0
1006.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
837.0,1800.0,1800.0,1800.0,1387.0,100.0,1733.0,100.0
977.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1156.0,1800.0,1800.0,1800.0,1732.0,100.0,1800.0,100.0
105.0,358.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
344.0,1800.0,1784.0,1800.0,100.0,100.0,1742.0,100.0
662.0,1800.0,1406.0,1800.0,100.0,715.0,348.0,100.0
775.0,1800.0,1800.0,1800.0,931.0,100.0,1800.0,100.0
371.0,568.0,1800.0,1800.0,100.0,100.0,908.0,100.0
572.0,1800.0,1800.0,1800.0,249.0,392.0,1185.0,100.0
812.0,1800.0,1800.0,1800.0,1737.0,100.0,1800.0,100.0
762.0,1800.0,1800.0,1800.0,1202.0,100.0,1778.0,100.0
263.0,1295.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
428.0,1800.0,1800.0,1800.0,644.0,100.0,1800.0,100.0
455.0,1800.0,1800.0,1800.0,455.0,100.0,1800.0,100.0
450.0,1800.0,1800.0,1800.0,318.0,100.0,1800.0,100.0
912.0,1800.0,1800.0,1800.0,1641.0,100.0,1800.0,100.0
618.0,1800.0,1800.0,1800.0,915.0,100.0,1800.0,100.0
684.0,1800.0,1800.0,1800.0,985.0,100.0,1788.0,100.0
385.0,1310.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
698.0,1800.0,1800.0,1800.0,1321.0,100.0,1800.0,100.0
420.0,1800.0,1800.0,1800.0,173.0,100.0,1800.0,100.0
293.0,1363.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
621.0,1800.0,1800.0,1800.0,340.0,299.0,1800.0,100.0
684.0,1800.0,1800.0,1800.0,1361.0,100.0,1800.0,100.0
570.0,1800.0,1800.0,1800.0,537.0,100.0,1800.0,100.0
1017.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1029.0,1800.0,1800.0,1800.0,1719.0,100.0,1800.0,100.0
1211.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
104.0,832.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
334.0,354.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
1130.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,966.0
1323.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
835.0,1490.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
475.0,100.0,1800.0,1800.0,100.0,100.0,1154.0,100.0
992.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1109.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1178.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
132.0,1474.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
251.0,1800.0,1352.0,1800.0,100.0,100.0,1800.0,100.0
425.0,1800.0,1571.0,1800.0,100.0,497.0,1800.0,100.0
1001.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
724.0,1800.0,1800.0,1800.0,1044.0,100.0,1665.0,100.0
481.0,1800.0,1800.0,1800.0,339.0,100.0,1800.0,100.0
425.0,1800.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
995.0,100.0,1800.0,1800.0,1164.0,863.0,1800.0,100.0
593.0,1800.0,1800.0,1800.0,100.0,204.0,1800.0,100.0
558.0,1800.0,1800.0,1800.0,687.0,100.0,1800.0,100.0
1800.0,1800.0,1800.0,1800.0,1800.0,654.0,1699.0,100.0
953.0,1616.0,1800.0,1800.0,100.0,1800.0,1800.0,100.0
472.0,1800.0,1800.0,1800.0,100.0,569.0,1786.0,100.0
433.0,1649.0,1800.0,1800.0,469.0,100.0,1800.0,100.0
899.0,1800.0,1800.0,1800.0,1455.0,100.0,1800.0,100.0
1080.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1127.0,1800.0,1800.0,1800.0,1779.0,100.0,1800.0,100.0
554.0,1384.0,1800.0,1800.0,325.0,100.0,1800.0,100.0
100.0,1181.0,1800.0,1800.0,100.0,100.0,1800.0,1244.0
100.0,100.0,1800.0,1800.0,100.0,982.0,1800.0,1800.0
474.0,1800.0,1800.0,1800.0,100.0,229.0,1800.0,1800.0
180.0,100.0,1800.0,1800.0,100.0,754.0,1800.0,1800.0
413.0,100.0,1800.0,1616.0,100.0,387.0,1800.0,1800.0
598.0,277.0,1800.0,1290.0,100.0,128.0,1800.0,1800.0
181.0,100.0,1800.0,1800.0,100.0,776.0,1800.0,1800.0
100.0,100.0,1800.0,1800.0,100.0,774.0,1800.0,1800.0
100.0,100.0,1800.0,1755.0,100.0,575.0,1800.0,1800.0
183.0,100.0,1800.0,1686.0,100.0,227.0,1800.0,1800.0
452.0,100.0,1800.0,1443.0,100.0,176.0,1800.0,1800.0
362.0,100.0,1800.0,1725.0,100.0,417.0,1800.0,1800.0
488.0,100.0,1800.0,1715.0,100.0,236.0,1800.0,1800.0
731.0,668.0,1800.0,1800.0,100.0,100.0,1800.0,1800.0
482.0,100.0,1800.0,1634.0,100.0,304.0,1800.0,1800.0
337.0,100.0,1800.0,1664.0,100.0,459.0,1800.0,1800.0
421.0,100.0,1800.0,1705.0,100.0,262.0,1800.0,1800.0
383.0,100.0,1800.0,1375.0,100.0,100.0,1800.0,1800.0
1049.0,792.0,1800.0,1800.0,100.0,137.0,1800.0,1800.0
724.0,100.0,1800.0,1800.0,100.0,148.0,1800.0,1800.0
697.0,100.0,1800.0,1650.0,100.0,100.0,1800.0,1800.0
473.0,100.0,1800.0,1800.0,100.0,462.0,1800.0,1800.0
100.0,100.0,1800.0,1800.0,100.0,924.0,1800.0,1800.0
203.0,1800.0,742.0,1800.0,100.0,100.0,1800.0,1800.0
488.0,1451.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
827.0,1800.0,1800.0,1800.0,100.0,426.0,1800.0,1779.0
685.0,1323.0,1800.0,1800.0,100.0,100.0,1800.0,329.0
746.0,1800.0,1800.0,1800.0,100.0,100.0,1800.0,1145.0
701.0,1800.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
376.0,1800.0,1593.0,1800.0,100.0,100.0,1800.0,100.0
100.0,1800.0,451.0,1800.0,100.0,100.0,1800.0,100.0
100.0,1800.0,161.0,1800.0,100.0,251.0,1800.0,100.0
666.0,1800.0,1301.0,1800.0,100.0,688.0,1800.0,100.0
579.0,1800.0,1571.0,1800.0,100.0,100.0,932.0,100.0
870.0,1800.0,1800.0,1800.0,643.0,100.0,1800.0,100.0
1310.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1210.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1034.0,1800.0,1800.0,1800.0,1766.0,100.0,1800.0,100.0
842.0,1433.0,1800.0,1800.0,359.0,100.0,1800.0,100.0
472.0,1800.0,1800.0,1800.0,100.0,100.0,1280.0,100.0
708.0,1800.0,1800.0,1800.0,687.0,100.0,1800.0,100.0
1106.0,1800.0,1800.0,1800.0,1765.0,100.0,1800.0,100.0
1224.0,1800.0,1800.0,1800.0,1666.0,100.0,1800.0,100.0
1237.0,1800.0,1800.0,1800.0,1564.0,100.0,1800.0,100.0
1094.0,1800.0,1800.0,1800.0,1496.0,100.0,1800.0,100.0
959.0,1800.0,1800.0,1800.0,1201.0,100.0,1800.0,100.0
255.0,706.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
495.0,1800.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
867.0,1800.0,1232.0,1800.0,100.0,634.0,432.0,100.0
1329.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1041.0,1781.0,1800.0,1800.0,1800.0,100.0,1776.0,100.0
1001.0,1800.0,1800.0,1800.0,1608.0,100.0,1800.0,100.0
1209.0,1800.0,1800.0,1800.0,1268.0,100.0,1800.0,100.0
792.0,1800.0,1800.0,1800.0,926.0,100.0,1596.0,100.0
1111.0,1800.0,1800.0,1800.0,1800.0,100.0,547.0,791.0
1161.0,1800.0,1800.0,1800.0,1075.0,100.0,1800.0,100.0
897.0,100.0,1800.0,1800.0,118.0,1227.0,1800.0,100.0
623.0,1800.0,509.0,1800.0,100.0,697.0,281.0,100.0
1187.0,1415.0,1800.0,1800.0,1557.0,100.0,1589.0,100.0
1439.0,1800.0,1800.0,1800.0,1800.0,100.0,1776.0,100.0
1111.0,1664.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
651.0,100.0,1800.0,1800.0,1233.0,100.0,1800.0,100.0
1369.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,1391.0
1374.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,666.0
1405.0,1800.0,1800.0,1800.0,1800.0,100.0,1651.0,181.0
1028.0,946.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
780.0,100.0,1800.0,1800.0,993.0,100.0,1800.0,100.0
1361.0,1800.0,1800.0,1800.0,1800.0,100.0,1009.0,1800.0
1012.0,790.0,1800.0,1800.0,1209.0,100.0,1800.0,1023.0
832.0,100.0,1800.0,1800.0,1412.0,100.0,1800.0,313.0
1622.0,1800.0,1800.0,1800.0,1800.0,100.0,1519.0,908.0
922.0,1048.0,1800.0,1800.0,1311.0,100.0,1800.0,100.0
505.0,1800.0,320.0,1800.0,203.0,100.0,100.0,100.0
1060.0,1536.0,1641.0,1800.0,100.0,100.0,100.0,100.0
1649.0,1691.0,1800.0,1800.0,100.0,314.0,100.0,100.0
1800.0,1336.0,1097.0,1800.0,814.0,100.0,1456.0,100.0
927.0,555.0,1800.0,1800.0,702.0,814.0,496.0,100.0
302.0,100.0,1800.0,405.0,791.0,100.0,1800.0,100.0
1514.0,1800.0,1247.0,1800.0,1800.0,100.0,1800.0,1800.0
1466.0,1800.0,1800.0,1800.0,1590.0,100.0,1800.0,100.0
1346.0,1800.0,1800.0,1800.0,1340.0,100.0,1443.0,100.0
586.0,100.0,1800.0,1800.0,493.0,100.0,1209.0,100.0
100.0,1679.0,1800.0,100.0,680.0,100.0,1800.0,100.0
1324.0,1800.0,1800.0,100.0,1800.0,100.0,1800.0,100.0
1722.0,1800.0,1800.0,1223.0,1800.0,100.0,1800.0,1189.0
1362.0,1800.0,811.0,1800.0,1800.0,100.0,1213.0,285.0
108.0,100.0,1800.0,1800.0,537.0,100.0,281.0,100.0
100.0,654.0,1800.0,1800.0,100.0,100.0,1416.0,100.0
1407.0,1800.0,1800.0,666.0,1380.0,100.0,1800.0,100.0
1529.0,1800.0,1800.0,1128.0,1800.0,100.0,1800.0,1100.0
575.0,100.0,1800.0,1605.0,1504.0,100.0,1800.0,100.0
1162.0,1514.0,1800.0,1339.0,1800.0,100.0,1800.0,100.0
831.0,434.0,1800.0,1800.0,1432.0,100.0,1800.0,100.0
1695.0,1800.0,274.0,100.0,1467.0,100.0,1800.0,100.0
1800.0,1699.0,1614.0,264.0,910.0,100.0,1800.0,100.0
685.0,154.0,100.0,568.0,100.0,100.0,1638.0,1450.0
1290.0,100.0,1800.0,1800.0,100.0,100.0,572.0,206.0
1162.0,100.0,1800.0,1349.0,1800.0,100.0,1428.0,100.0
1800.0,1800.0,1800.0,1800.0,100.0,100.0,1697.0,100.0
1406.0,1800.0,100.0,832.0,1424.0,100.0,1800.0,100.0
1511.0,1800.0,100.0,100.0,1800.0,100.0,369.0,100.0
1324.0,1800.0,341.0,100.0,1800.0,100.0,771.0,100.0
1355.0,1800.0,1800.0,182.0,1490.0,100.0,944.0,100.0
998.0,1800.0,1800.0,100.0,1800.0,100.0,100.0,100.0
840.0,946.0,1800.0,1279.0,1153.0,100.0,219.0,100.0
100.0,100.0,1800.0,1254.0,1441.0,100.0,272.0,100.0
758.0,471.0,1800.0,948.0,953.0,100.0,1800.0,100.0
486.0,428.0,1800.0,1433.0,1176.0,100.0,1800.0,100.0
404.0,100.0,1800.0,1354.0,1800.0,100.0,926.0,100.0
586.0,100.0,1800.0,571.0,577.0,100.0,1520.0,100.0
1029.0,1694.0,1800.0,1155.0,1800.0,100.0,1800.0,100.0
1800.0,809.0,1800.0,1638.0,1631.0,100.0,1800.0,100.0
1411.0,1800.0,1800.0,100.0,725.0,100.0,146.0,100.0
425.0,100.0,1800.0,1439.0,143.0,100.0,100.0,100.0
100.0,268.0,1800.0,1646.0,740.0,517.0,1617.0,100.0
169.0,341.0,1800.0,1488.0,1418.0,100.0,1800.0,100.0
1418.0,1631.0,1800.0,1800.0,1800.0,100.0,1381.0,100.0
1278.0,1352.0,1800.0,1378.0,1115.0,100.0,1471.0,100.0
1045.0,100.0,1800.0,1800.0,129.0,100.0,1709.0,100.0
1384.0,1728.0,1651.0,780.0,1800.0,100.0,1044.0,100.0
1117.0,1142.0,1800.0,1800.0,915.0,100.0,849.0,100.0
163.0,100.0,1800.0,1308.0,1061.0,100.0,1800.0,100.0
1394.0,1800.0,1255.0,1098.0,1556.0,100.0,1800.0,100.0
1620.0,1800.0,1800.0,100.0,1800.0,100.0,1152.0,100.0
1448.0,1167.0,1651.0,100.0,1701.0,100.0,1800.0,100.0
1248.0,1498.0,1800.0,594.0,1800.0,100.0,1592.0,100.0
671.0,503.0,1800.0,1800.0,1107.0,100.0,100.0,100.0
978.0,564.0,1140.0,1442.0,209.0,100.0,100.0,100.0
697.0,1210.0,1436.0,732.0,1800.0,100.0,100.0,1055.0
100.0,100.0,1700.0,1357.0,1563.0,100.0,100.0,352.0
1485.0,1800.0,1684.0,268.0,1289.0,100.0,1800.0,100.0
1412.0,1134.0,1800.0,580.0,1800.0,100.0,683.0,1172.0
520.0,100.0,1800.0,1800.0,1291.0,100.0,1631.0,100.0
100.0,100.0,1800.0,1420.0,1512.0,100.0,1800.0,100.0
1243.0,1381.0,1718.0,100.0,100.0,100.0,1800.0,100.0
907.0,614.0,1800.0,767.0,791.0,100.0,1800.0,100.0
1657.0,100.0,100.0,100.0,412.0,1499.0,1653.0,1800.0
842.0,1800.0,261.0,1511.0,1800.0,100.0,1567.0,1197.0
1659.0,1800.0,1644.0,1800.0,1800.0,100.0,1447.0,106.0
1112.0,1800.0,1447.0,1800.0,1498.0,100.0,100.0,100.0
676.0,100.0,1800.0,1800.0,1800.0,100.0,608.0,539.0
1330.0,1800.0,1800.0,1091.0,1293.0,100.0,1181.0,100.0
943.0,1018.0,1800.0,1198.0,919.0,100.0,1588.0,100.0
562.0,100.0,1800.0,1133.0,1800.0,100.0,1800.0,100.0
938.0,689.0,1680.0,1316.0,824.0,100.0,1800.0,100.0
1097.0,847.0,1213.0,1800.0,1800.0,100.0,1766.0,100.0
527.0,100.0,1800.0,1800.0,1551.0,100.0,1800.0,100.0
1491.0,1276.0,1800.0,492.0,688.0,100.0,368.0,100.0
1549.0,1800.0,1800.0,1214.0,1049.0,100.0,1800.0,100.0
1364.0,1800.0,989.0,100.0,1800.0,100.0,1800.0,1027.0
609.0,879.0,189.0,100.0,1800.0,100.0,168.0,100.0
1061.0,854.0,1800.0,972.0,274.0,100.0,660.0,100.0
1060.0,1800.0,1465.0,1311.0,1800.0,100.0,1003.0,100.0
570.0,504.0,1800.0,1452.0,100.0,100.0,1627.0,100.0
1168.0,543.0,1800.0,1776.0,341.0,100.0,1800.0,100.0
1800.0,1217.0,1800.0,1012.0,1326.0,100.0,1800.0,100.0
1591.0,979.0,438.0,1800.0,1692.0,100.0,1800.0,350.0
1571.0,1741.0,100.0,1552.0,1800.0,100.0,1722.0,526.0
971.0,846.0,100.0,381.0,100.0,100.0,1800.0,100.0
1372.0,1699.0,1361.0,646.0,904.0,100.0,637.0,100.0
1412.0,100.0,1800.0,696.0,512.0,100.0,1548.0,100.0
1539.0,1719.0,1705.0,897.0,1511.0,100.0,584.0,100.0
1766.0,1800.0,1800.0,297.0,1478.0,100.0,645.0,100.0
1606.0,1800.0,1635.0,229.0,1743.0,100.0,1800.0,100.0
1143.0,1800.0,557.0,322.0,1354.0,100.0,482.0,100.0
465.0,651.0,1800.0,1334.0,1449.0,100.0,100.0,100.0
913.0,1363.0,1800.0,615.0,1800.0,100.0,100.0,567.0
649.0,100.0,1800.0,1736.0,382.0,100.0,1800.0,100.0
1529.0,1800.0,1800.0,226.0,666.0,100.0,1800.0,100.0
1464.0,1800.0,1328.0,655.0,1800.0,100.0,1276.0,623.0
1800.0,1537.0,1469.0,923.0,1800.0,100.0,1692.0,100.0
1204.0,1615.0,100.0,1472.0,100.0,100.0,1800.0,1800.0
1195.0,1731.0,100.0,100.0,411.0,100.0,1117.0,100.0
1212.0,1427.0,1800.0,1800.0,100.0,100.0,327.0,100.0
967.0,338.0,1800.0,1800.0,653.0,100.0,1647.0,100.0
